ETL,ETL-2,Perovskite,Perovskite_deposition_procedure,Perovskite_deposition_method,Antisolvent,Precursor_solution,HTL,HTL_additive,Year,PCEbest,Cs,MA,FA,Rb,Pb,Sn,I,Br,Cl,Feature-1,Feature-2,Feature-3,Feature-4,Feature-5,Feature-6,Feature-7,Feature-8,Feature-9,Feature-10,Feature-11,Feature-12,Feature-13,Feature-14,Feature-15,Feature-16,Feature-17,Feature-18,Feature-19,Feature-20,Feature-21,Feature-22,Feature-23,Feature-24,Feature-25,Feature-26,Feature-27,Feature-28,Feature-29,Feature-30,Feature-31,Feature-32,Feature-33,Feature-34,Feature-35,Feature-36,Feature-37,Feature-38,Feature-39,Feature-40,Feature-41,Feature-42,Feature-43,Feature-44,Feature-45,Feature-46,Feature-47,Feature-48,Feature-49,Feature-50,Feature-51,Feature-52,Feature-53,Feature-54,Feature-55,Feature-56,Feature-57,Feature-58,Feature-59,Feature-60,Feature-61,Feature-62,Feature-63,Feature-64,Feature-65,Feature-66,Feature-67,Feature-68,Feature-69,Feature-70,Feature-71,Feature-72,Feature-73,Feature-74,Feature-75,Feature-76,Feature-77,Feature-78,Feature-79,Feature-80,Feature-81,Feature-82,Feature-83,Feature-84,Feature-85,Feature-86,Feature-87,Feature-88,Feature-89,Feature-90,Feature-91,Feature-92,Feature-93,Feature-94,Feature-95,Feature-96,Feature-97,Feature-98,Feature-99,Feature-100,Feature-101,Feature-102,Feature-103,Feature-104,Feature-105,Feature-106,Feature-107,Feature-108,Feature-109,Feature-110,Feature-111,Feature-112,Feature-113,Feature-114,Feature-115,Feature-116,Feature-117,Feature-118,Feature-119,Feature-120,Feature-121,Feature-122,Feature-123,Feature-124,Feature-125,Feature-126,Feature-127,Feature-128,Feature-129,Feature-130,Feature-131,Feature-132,Feature-133,Feature-134,Feature-135,Feature-136,Feature-137,Feature-138,Feature-139,Feature-140,Feature-141,Feature-142,Feature-143,Feature-144,Feature-145,Feature-146,Feature-147,Feature-148,Feature-149,Feature-150,Feature-151,Feature-152,Feature-153,Feature-154,Feature-155,Feature-156,Feature-157,Feature-158,Feature-159,Feature-160,Feature-161,Feature-162,Feature-163,Feature-164,Feature-165,Feature-166,Feature-167,Feature-168,Feature-169,Feature-170,Feature-171,Feature-172,Feature-173,Feature-174,Feature-175,Feature-176,Feature-177,Feature-178,Feature-179,Feature-180,Feature-181,Feature-182,Feature-183,Feature-184,Feature-185,Feature-186,Feature-187,Feature-188,Feature-189,Feature-190,Feature-191,Feature-192,Feature-193,Feature-194,Feature-195,Feature-196,Feature-197,Feature-198,Feature-199,Feature-200,bandgap
BCP,PCBM,Cs0.17FA0.83Pb(I0.77Br0.23)3,one-step,spin,diethylether,DMF+DMSO,NiO,0,2023,14.36,0.17,0,0.83,0,1,0,0.77,0.23,0,-13.038,-19.267,2.976,-0.392,25.801,27.126,24.701,-29.032,11.733,-9.969,21.829,28.656,13.011,14.143,-19.063,-2.051,-19.526,-11.511,-27.24,-10.413,-25.542,22.191,-29.89,-17.318,-28.124,-25.421,14.671,14.191,-19.334,-6.905,8.623,-21.589,-5.924,26.894,-3.975,-8.389,21.536,20.34,-17.791,10.32,-6.996,24.898,-24.419,3.537,-15.747,-25.547,24.233,-5.363,-4.544,15.953,-9.535,21.516,27.478,-15.334,20.317,21.101,-26.967,-19.09,2.368,-4.636,27.229,-27.895,4.173,27.576,22.035,-12.61,-14.267,9.766,-28.075,-8.002,-21.327,-28.905,5.389,-9.767,-16.232,-16.608,17.963,0.2,-10.196,1.431,13.313,-14.88,9.468,-23.209,22.129,-0.78,-27.396,15.241,-8.732,-23.464,-5.877,14.233,5.282,-15.176,10.214,20.098,26.055,-12.423,-8.366,-12.454,-17.104,20.058,9.793,18.998,-25.7,-24.627,6.728,18.919,-20.23,6.759,4.556,3.769,15.051,-6.934,-24.5,2.357,-27.808,-1.614,-8.036,1.148,-21.981,27.479,-27.851,6.731,-26.682,3.7,-9.584,-24.307,1.579,-18.01,0.217,-10.157,-20.959,-23.953,-16.398,10.657,13.691,14.866,-3.08,-6.661,-11.813,0.743,-14.395,27.166,25.38,22.78,10.683,16.093,-0.908,21.892,15.455,-22.477,5.749,18.647,14.919,19.699,1.454,17.29,5.72,-26.672,-3.895,26.758,-23.88,-17.229,-19.386,-5.197,-4.122,-6.752,8.824,-12.783,7.408,-2.591,16.626,-15.557,10.902,1.722,7.547,28.506,-0.742,-13.801,20.44,-18.986,21.632,24.648,24.207,-3.707,-24.293,-6.928,0.142,-12.428,27.378,-7.623,23.127,-22.257,19.307,-22.87,-12.348,6.415,-12.622,-11.785,10.04
BCP,PCBM,Cs0.17FA0.83Pb(I0.77Br0.23)3,one-step,spin,diethylether,DMF+DMSO,NiO,0,2023,14.53,0.17,0,0.83,0,1,0,0.77,0.23,0,-15.354,-12.822,14.37,-24.943,-0.124,17.966,-22.162,-12.815,-17.574,27.905,15.464,-5.233,16.428,-28.185,10.243,16.29,18.221,2.588,-0.046,-20.656,-4.978,-13.146,20.019,-23.134,20.714,-12.901,8.16,8.448,-0.295,-3.96,-16.943,16.557,-4.758,-14.51,-26.769,4.328,8.867,-10.165,19.444,-6.911,-16.7,4.524,16.745,7.331,8.54,-12.039,24.55,-4.934,-27.606,-24.147,-14.966,-15.4,12.852,19.769,10.852,-8.884,4.625,-11.85,-1.588,9.983,-21.074,0.382,26.199,-22.336,-3.782,-17.854,-5.509,-11.489,-1.481,-10.115,17.372,5.67,11.553,-22.085,25.871,1.899,-15.492,-13.333,17.41,17.993,-10.032,2.721,-17.336,-14.985,14.922,5.764,-16.891,23.663,21.617,9.406,-1.777,26.888,1.387,1.732,22.826,23.782,8.201,20.266,12.265,-5.752,-21.037,22.247,-9.091,22.849,2.572,-28.872,21.967,-23.942,-4.482,22.228,14.68,11.979,15.396,-12.489,-12.349,19.417,19.838,-14.683,23.478,15.789,5.728,-20.383,-13.791,13.778,-3.177,-0.393,23.507,-3.505,-26.044,25.523,5.079,-6.701,-27.781,7.478,19.429,-7.143,-23.486,-5.82,-0.812,-0.173,27.278,26.822,-7.339,-9.263,25.913,0.616,28.176,-3.818,28.962,23.518,-27.462,9.692,20.421,-23.749,-27.796,-3.93,28.397,21.395,-8.882,29.569,27.328,12.795,-20.259,-1.83,8.196,17.068,-14.023,-7.495,-20.491,-2.09,-10.096,29.814,11.383,24.048,13.618,-20.424,21.879,-12.528,28.132,24.414,-15.789,8.575,18.539,-28.309,22.362,-12.663,-17.908,-17.601,9.26,-21.784,6.03,-17.748,6.635,-9.508,24.463,-4.767,-19.321,-28.99,-13.414,-25.157,10.04
BCP,PCBM,Cs0.17FA0.83Pb(I0.77Br0.23)3,one-step,spin,diethylether,DMF+DMSO,NiO,0,2023,15.26,0.17,0,0.83,0,1,0,0.77,0.23,0,-13.709,-29.649,-1.449,-15.14,-21.045,9.608,-16.687,-6.638,-5.549,14.59,14.446,-13.087,-27.779,12.153,-23.705,-11.694,-2.418,22.441,17.343,-28.547,13.467,-3.362,-16.349,-12.441,22.52,-14.552,-15.843,5.699,17.472,-8.997,-19.008,-4.474,2.014,-3.354,-21.195,2.101,-15.825,2.4,-15.924,-19.716,-11.14,6.151,-7.29,29.112,22.202,5.904,-28.145,-14.916,17.278,-17.072,-4.874,19.38,-21.967,-22.865,-7.524,-9.303,24.105,0.55,-19.297,-26.805,-20.015,-18.119,1.949,10.566,-1.957,-19.726,-28.944,-19.857,5.601,-22.051,-2.132,11.459,2.266,-1.801,-25.108,-16.12,29.726,-18.889,-27.175,15.689,-15.572,15.435,15.944,18.41,-17.369,-29.203,-15.138,0.051,-15.927,-16.641,29.988,5.032,-7.645,-4.496,24.905,13.28,7.314,11.08,3.198,-29.107,-29.637,-18.448,-1.786,14.092,1.471,-5.635,-16.466,13.205,-24.794,-24.366,-3.577,-23.699,-8.951,5.367,1.839,-0.17,12.385,26.088,4.543,-13.087,-17.586,29.873,-7.048,7.508,13.185,-5.577,23.484,18.639,-20.087,-29.935,0.921,-13.11,-29.751,-0.414,22.572,-8.36,-7.279,14.024,11.096,-13.487,15.767,28.012,-17.351,-29.144,2.664,19.209,0.522,10.152,0.407,-4.771,-18.596,-14.75,-5.938,9.391,25.865,4.51,12.79,25.077,-6.875,-10.16,1.074,18.116,-20.198,-16.693,4.628,-16.549,-22.458,-11.724,-20.13,-29.027,20.502,22.233,-20.079,16.404,28.499,9.592,26.81,4.394,-27.92,10.69,-1.409,4.569,7.551,7.768,0.157,-27.65,26.82,14.174,-29.465,-24.314,13.948,23.023,-10.111,15.42,-13.825,2.773,-3.59,13.021,-4.367,-16.765,10.04
c-TiO2,mp-TiO2,MA0.13FA0.87PbI2.61Br0.39,one-step,spin2-3,chlorobenzene,DMF+DMSO,Spiro-OMeTAD,Li+TBP,2023,15.82,0,0.13,0.87,0,1,0,0.87,0.13,0,-13.046,-2.191,-22.696,5.138,2.886,-3.302,-16.482,-2.923,2.714,-16.01,-22.488,11.642,14.942,29.826,-13.632,16.255,19.288,-6.128,11.789,20.531,11.979,3.766,-23.549,24.398,-26.589,15.177,8.926,20.086,23.03,3.52,-16.61,13.413,-10.83,1.776,-29.042,18.952,7.74,-12.54,-27.286,-4.296,4.683,-12.139,22.735,-4.525,-22.344,29.727,-6.817,-3.251,1.414,-3.463,-3.747,-17.108,8.434,-14.923,-4.539,-5.076,-4.445,-21.564,23.32,0.179,-10.082,-27.113,21.358,22.668,-15.644,18.201,-3.666,-26.78,-22.745,-13.359,-4.966,5.591,27.045,-1.645,-14.311,1.489,-1.633,21.092,25.461,-4.779,2.696,-10.378,-0.594,8.829,4.066,13.082,-28.3,0.159,-22.643,19.379,3.354,-12.459,19.929,-21.863,2.321,16.505,-9.123,-27.383,-9.499,-20.055,-24.695,8.636,16.121,3.145,-18.263,-17.897,21.162,24.642,-12.252,14.348,-6.274,7.11,-24.691,26.786,10.74,16.402,16.805,3.835,-22.355,15.13,-19.902,-4.739,-19.295,23.081,12.385,24.484,17.692,17.067,7.912,-15.846,4.524,16.976,11.97,16.93,22.316,-23.84,-3.361,18.605,18.489,3.576,18.049,26.534,18.139,23.032,-1.982,26.519,-13.928,9.671,-24.843,-6.788,8.821,22.547,-26.915,-18.378,-15.924,18.764,24.924,-9.824,17.669,1.162,-5.748,6.104,8.671,-21.987,25.339,1.149,-15.83,13.191,1.229,-8.561,-17.571,-16.697,2.97,-20.469,-27.624,-18.055,-8.722,28.4,-18.642,-26.001,20.648,-22.859,-4.059,8.357,8.052,-9.093,-11.2,15.092,-18.993,25.762,10.187,19.816,-12.617,-4.76,-24.102,9.726,-18.724,11.545,25.095,-27.38,12.1
c-TiO2,mp-TiO2,MA0.13FA0.87PbI2.61Br0.39,one-step,spin2-3,chlorobenzene,DMF+DMSO,Spiro-OMeTAD,Li+TBP,2023,16.33,0,0.13,0.87,0,1,0,0.87,0.13,0,16.383,-11.862,22.45,9.199,-15.186,26.763,23.698,9.794,-5.876,-4.802,13.061,13.172,-21.446,-14.889,-22.627,-11.827,14.912,-13.804,-4.878,17.823,-10.564,13.552,-13.1,-10.785,6.964,6.476,9.687,-8.277,25.189,9.549,-3.707,-4.005,17.997,1.946,-3.353,7.252,14.225,-4.619,26.037,13.572,-6.214,-10.857,-18.212,29.686,13.397,-25.48,27.273,-24.185,23.021,-22.748,9.404,-5.964,-28.034,-6.803,18.919,-26.105,3.866,19.245,-24.58,28.365,0.491,-25.814,-23.413,-9.531,16.15,-15.209,-11.794,-6,-19.493,-23.406,7.729,-8.266,20.513,-27.192,-17.639,21.01,15.872,23.78,29.588,-27.185,9.163,15.48,10.753,-20.789,14.684,19.93,-9.022,25.943,-21.134,-20.572,-24.413,-21.672,1.968,-23.787,9.118,-19.732,-5.374,-26.215,25.234,3.294,18.903,23.988,20.625,-14.122,-14.266,-4.849,0.154,18.24,24.589,15.868,-27.876,-10.372,27.516,-2.092,2.94,22.839,-10.892,8.596,-15.995,-12.413,-17.408,22.895,12.771,23.833,-19.792,-19.177,15.013,25.796,25.443,-17.423,-14.041,-10.773,-21.199,28.348,-7.235,-22.538,9.054,25.44,-1.737,27.317,-4.839,-12.589,9.942,-23.642,24.001,21.714,3.204,11.444,-9.721,19.395,18.691,5.78,13.309,17.05,11.223,-27.455,7.519,24.453,18.652,27.507,29.192,-19.292,-3.956,-5.529,-5.767,26.935,-12.86,4.375,18.634,13.198,-27.735,-10.671,-20.408,-27.323,-14.554,1.096,-1.742,28.066,18.59,0.302,22.104,23.483,-2.706,-21.014,-19.581,4.571,1.618,-25.862,-18.311,-19.274,-17.657,24.226,15.047,26.722,5.167,-10.152,22.471,21.308,2.045,20.899,12.1
b-TiO2,mp-TiO2,Cs0.17FA0.83Pb(I0.77Br0.23)3,one-step,spin2-3,diethylether,DMF+DMSO,PTAA,Li+TBP,2023,16.45,0.17,0,0.83,0,1,0,0.77,0.23,0,-6.22,3.132,7.687,11.374,-3.531,14.626,16.708,-5.607,22.283,9.265,-7.152,6.816,7.9,15.371,19.974,1.79,-4.38,6.42,25.576,-0.12,7.835,6.891,19.258,-28.536,9.812,20.499,-7.431,2.327,-4.868,26.879,3.434,9.77,-2.279,22.489,6.102,24.8,2.657,-22.841,-18.037,0.098,-4.008,-8.506,12.766,16.691,8.704,-15.999,23.582,-16.403,21.521,3.95,-19.071,-12.348,-12.85,3.922,-20.157,18.296,21.628,8.746,-13.979,20.539,-1.077,-23.716,-27.849,-3.308,6.189,2.797,-11.18,10.845,-18.653,-17.541,-25.198,0.839,-6.74,20.71,5.837,28.621,24.509,-6.018,29.547,-8.147,16.665,-17.657,-20.918,11.636,14.091,3.269,12.952,4.923,-7.912,5.229,6.443,16.006,-0.047,-1.79,-28.023,-0.153,24.93,20.383,-16.692,-28.397,12.239,-15.637,-9.257,-8.037,13.8,-8.12,-3.203,28.412,25.512,-24.514,6.465,19.643,19.151,-15.239,18.333,-2.814,-15.281,-12.873,19.912,4.745,-17.039,-10.283,-1.6,12.782,-26.366,-5.341,-23.446,16.389,-23.152,12.9,3.911,18.958,-28.707,-23.67,-1.772,10.201,-8.663,5.474,15.864,3.312,21.849,2.121,-8.722,25.498,-9.039,2.686,-23.296,-21.874,-17.67,-18.54,13.664,19.374,-29.654,-9.082,-5.643,-24.316,6.189,-20.906,-24.087,-17.385,11.324,-29.338,-27.025,18.759,4.643,23.517,10.979,21.648,17.523,15.2,-16.95,-3.881,-15.362,19.551,-6.065,-20.183,27.68,24.709,7.013,29.677,17.211,-8.849,4.107,-16.054,20.73,5,-17.361,-4.386,8.363,-13.918,23.231,-24.678,-25.594,-7.28,27.957,-29.517,-20.157,16.828,19.776,5.132,10.04
PC61BM,C60,MAPbI3,one-step,spin2-3,toluene,DMF+NMP,PTAA,0,2023,16.81,0,1,0,0,1,0,1,0,0,13.285,14.412,-12.011,-13.425,2.341,-22.012,-4.648,-28.801,5.329,2.455,-0.011,-14.93,16.794,27.181,-3.58,-11.708,-15.406,21.786,6.625,15.009,-18.953,-0.456,-15.349,23.522,-4.073,-19.521,-0.433,11.336,-11.332,-8.816,-10.673,-18.746,28.178,13.687,-26.978,-14.859,6.839,-11.445,20.799,-10.408,-29.384,-9.268,-17.718,8.912,17.819,-10.902,7.24,16.704,-14.36,-28.489,-4.33,23.546,-26.916,2.606,-28.553,-19.865,-22.108,8.248,10.411,-15.632,6.173,-2.203,-3.858,-26.209,10.677,0.904,-7.295,15.413,24.109,-25.973,18.391,12.191,14.127,29.969,-14.795,-0.877,-19.15,23.24,-14.537,10.428,-26.695,0.702,-1.446,24.276,-28.085,-19.238,-28.337,-6.493,-14.997,3.569,-0.834,-1.965,12.327,-23.369,-12.302,19.091,-12.03,16.724,-9.098,-14.518,-14.548,6.499,18.826,28.381,-16.543,11.269,4.56,-22.731,3.024,-17.261,-16.822,-28.967,-16.353,25.709,-1.245,-18.269,-24.857,-20.083,-27.23,3.944,-4.378,-11.164,29.915,21.147,-13.097,1.516,8.463,20.596,25.948,-2.407,24.043,11.529,3.853,-9.813,11.239,8.362,10.203,-6.3,22.502,-18.52,24.754,19.177,5.566,2.636,-19.596,-19.349,9.713,29.719,-16.569,-5.957,6.238,13.999,24.731,3.536,-13.582,-19.803,-4.409,-28.47,-15.301,-2.115,13.11,16.298,20.927,-26.383,-17.189,6.123,-0.736,9.226,-5.883,8.545,-29.726,-22.995,23.281,25.647,27.767,2.022,13.336,-24.546,-10.743,16.26,-16.796,1.328,16.996,24.485,27.963,-0.602,14.759,28.241,28.775,-4.064,-18.436,-25.099,-23.013,16.875,5.843,-14.985,0.952,-18.931,-3.058,-28.474,7.4
b-TiO2,mp-TiO2,Cs0.17FA0.83Pb(I0.77Br0.23)3,one-step,spin2-3,diethylether,DMF+DMSO,PTAA,Li+TBP,2023,16.88,0.17,0,0.83,0,1,0,0.77,0.23,0,3.827,1.231,-22.063,11.59,-27.673,8.384,11.766,29.233,28.047,-23.852,-17.873,10.967,-2.946,14.659,0.966,-21.465,-18.905,-24.415,-22.458,-12.059,0.653,-10.929,27.135,-6.432,-12.753,29.14,-4.676,24.182,-9.167,7.201,-24.101,15.396,-3.841,-20.041,-2.421,29.115,-17.041,-5.307,-12.021,6.282,14.304,14.67,26.54,-16.055,26.981,22.822,1.233,-19.414,27.003,-1.207,5.756,18.146,14.074,-17.542,29.877,22.278,-19.79,-26.837,1.927,17.885,29.463,25.042,-17.278,-23.76,-7.299,24.39,-3.472,17.699,-6.052,14.011,18.717,24.462,20.324,18.716,-9.274,29.71,-11.242,-28.655,23.962,-7.036,28.884,-28.228,24.438,8.263,8.781,-27.936,19.423,-20.071,-28.994,19.716,-4.006,23.885,-17.709,18.846,-3.881,-20.26,-8.498,21.3,16.035,-22.671,-20.84,7.101,7.482,14.205,-3.073,14.792,2.907,-9.128,0.345,-25.126,12.142,18.753,26.157,-8.279,17.854,18.064,-8.422,-21.63,-2.742,1.151,18.978,-6.257,-21.422,26.453,17.899,-16.907,28.44,12.023,-1.044,-21.597,5.069,-26.011,2.375,-18.204,-8.837,5.846,-28.814,-20.799,8.135,20.2,18.518,17.415,12.403,-14.939,1.668,23.517,20.735,-17.646,13.298,6.135,-1.885,-10.585,12.336,-11.6,-9.545,-11.474,23.675,0.767,-25.94,26.545,26.145,15.904,28.001,-29.557,-18.264,-9.79,3.733,-20.237,9.936,-8.665,-23.553,29.21,23.652,-28.974,-24.464,12.481,13.981,-18.768,-10.955,-5.43,9.502,-2.833,-19.756,28.952,16.685,-17.646,-14.64,27.691,9.192,-16.97,-10.619,-28.707,28.518,-17.921,19.272,0.079,-4.031,-13.183,17.941,28.358,10.04
PC61BM,C60,MAPbI3,one-step,spin2-3,toluene,DMF+NMP,PTAA,0,2023,16.91,0,1,0,0,1,0,1,0,0,-14.053,21.782,-19.388,24.158,27.157,-9.043,20.414,-24.017,-11.485,-10.58,-8.274,-6.485,1.031,-12.033,24.682,20.236,23.885,-0.79,21.676,-2.942,-23.6,-16.816,4.002,27.086,-17.156,-12.371,17.328,13.852,-16.34,-15.808,-4.535,10.677,-27.096,-19.898,-5.969,-28.693,16.787,2.532,-28.309,3.557,28.274,1.445,22.419,-2.024,-16.462,14.431,-15.82,-25.144,5.931,27.179,3.908,-13.424,-24.249,13.704,-27.676,7.736,18.003,-22.113,7.686,23.531,24.174,-6.774,3.508,-27.354,-20.139,28.247,-1.838,7.918,-10.199,-22.982,25.093,-1.878,28.302,29.626,-28.664,0.517,-0.216,1.526,7.366,-28.571,16.964,-3.328,24.381,3.215,-24.549,-28.942,29.146,2.87,8.596,-10.312,-12.296,2.858,25.949,3.304,-16.937,12.585,19.452,17.389,-1.686,27.17,14.981,-28.237,-23.395,-17.868,-5.403,21.148,-26.606,-24.645,-24.801,6.034,-26.731,-22.364,-29.043,1.813,-21.549,-16.809,21.637,-24.186,12.655,-26.671,8.68,-15.406,21.445,9.846,10.192,18.101,24.383,-12.921,25.853,7.321,-0.023,-27.586,26.64,27.739,-3.177,-19.921,21.305,25.573,-11.595,15.025,23.552,23.489,-24.72,-10.235,22.905,19.568,16.722,11.626,-26.192,-24.31,27.684,25.429,13.352,-27.786,-28.758,19.3,-8.285,21.804,19.474,14.423,-28.168,-16.939,-9.931,28.526,7.719,12.123,5.004,-6.162,11.413,22.778,-11.625,21.316,15.19,-1.966,17.755,-11.846,-5.956,-1.065,16.64,-10.304,-8.86,10.189,-16.293,14.573,-12.071,23.694,15.535,-27.265,-8.272,-15.685,-18.503,11.618,28.399,20.249,-21.286,21.387,24.682,-0.598,10.064,24.962,7.4
SnO2,0,FA0.85Cs0.15PbI3,one-step,spin,diethylether,DMF+DMSO,Spiro-OMeTAD,Li+TBP,2023,16.98,0.15,0,0.85,0,1,0,1,0,0,26.085,-14.985,13.812,-27.04,-23.698,15.675,-11.745,-10.117,14.148,16.432,2.925,19.028,-15.691,-6.371,-2.926,-7.925,18.42,-3.189,-23.565,10.71,6.849,-27.912,-29.211,-3.047,15.761,-6.038,23.241,7.345,0.035,-22.981,-2.536,-9.756,16.634,-15.915,20.241,-2.037,1.232,-27.507,18.149,18.856,-8.747,8.93,-23.455,16.108,-17.283,-24.79,18.63,-28.02,-27.603,28.914,-26.813,20.514,8.884,-14.059,19.619,24.98,-7.776,-17.154,-28.253,25.402,27.222,-4.922,15.195,1.186,26.307,4.397,16.001,-7.991,-28.357,28.162,10.675,-2.906,13.147,11.606,-10.249,17.298,-24.19,-19.814,-1.557,-10.896,4.442,-29.996,14.185,11.007,28.125,-28.122,-6.083,9.215,-14.629,-5.697,-14.978,-23.463,-1.421,9.071,3.231,-29.851,3.233,3.191,-27.336,23.445,-5.254,4.159,-23.647,29.49,20.044,-17.431,-29.693,10.846,-11.173,18.143,10.147,-8.966,-20.16,8.754,-1.198,-4.774,-9.393,18.266,-24.868,-9.301,10.428,-19.359,29.188,14.182,3.361,9.098,-25.143,13.998,2.754,10.548,-18.417,3.304,22.763,-21.192,4.825,15.044,-2.238,19.5,5.332,10.586,-4.835,24.661,19.851,-4.21,-21.107,-8.978,-5.018,6.788,-11.227,19.541,20.496,14.095,22.702,-1.926,17.175,-25.882,-26.698,-0.615,-11.316,-18.255,-28.499,25.924,-29.754,-18.445,12.457,-5.803,14.714,-8.977,-14.5,-18.559,3.564,29.374,16.499,-25.758,-25.475,20.171,26.05,-20.23,-5.502,18.7,4.459,13.184,12.668,-11.369,-25.555,-2.063,6.488,20.335,-22.454,-15.254,-25.38,15.134,-12.288,5.746,21.211,16.301,-11.162,24.951,26.435,-20.861,8.14
