ETL,ETL-2,Perovskite,Perovskite_deposition_procedure,Perovskite_deposition_method,Antisolvent,Precursor_solution,HTL,HTL_additive,Year,PCEbest,Cs,MA,FA,Rb,Pb,Sn,I,Br,Cl,Feature-1,Feature-2,Feature-3,Feature-4,Feature-5,Feature-6,Feature-7,Feature-8,Feature-9,Feature-10,Feature-11,Feature-12,Feature-13,Feature-14,Feature-15,Feature-16,Feature-17,Feature-18,Feature-19,Feature-20,Feature-21,Feature-22,Feature-23,Feature-24,Feature-25,Feature-26,Feature-27,Feature-28,Feature-29,Feature-30,Feature-31,Feature-32,Feature-33,Feature-34,Feature-35,Feature-36,Feature-37,Feature-38,Feature-39,Feature-40,Feature-41,Feature-42,Feature-43,Feature-44,Feature-45,Feature-46,Feature-47,Feature-48,Feature-49,Feature-50,Feature-51,Feature-52,Feature-53,Feature-54,Feature-55,Feature-56,Feature-57,Feature-58,Feature-59,Feature-60,Feature-61,Feature-62,Feature-63,Feature-64,Feature-65,Feature-66,Feature-67,Feature-68,Feature-69,Feature-70,Feature-71,Feature-72,Feature-73,Feature-74,Feature-75,Feature-76,Feature-77,Feature-78,Feature-79,Feature-80,Feature-81,Feature-82,Feature-83,Feature-84,Feature-85,Feature-86,Feature-87,Feature-88,Feature-89,Feature-90,Feature-91,Feature-92,Feature-93,Feature-94,Feature-95,Feature-96,Feature-97,Feature-98,Feature-99,Feature-100,Feature-101,Feature-102,Feature-103,Feature-104,Feature-105,Feature-106,Feature-107,Feature-108,Feature-109,Feature-110,Feature-111,Feature-112,Feature-113,Feature-114,Feature-115,Feature-116,Feature-117,Feature-118,Feature-119,Feature-120,Feature-121,Feature-122,Feature-123,Feature-124,Feature-125,Feature-126,Feature-127,Feature-128,Feature-129,Feature-130,Feature-131,Feature-132,Feature-133,Feature-134,Feature-135,Feature-136,Feature-137,Feature-138,Feature-139,Feature-140,Feature-141,Feature-142,Feature-143,Feature-144,Feature-145,Feature-146,Feature-147,Feature-148,Feature-149,Feature-150,Feature-151,Feature-152,Feature-153,Feature-154,Feature-155,Feature-156,Feature-157,Feature-158,Feature-159,Feature-160,Feature-161,Feature-162,Feature-163,Feature-164,Feature-165,Feature-166,Feature-167,Feature-168,Feature-169,Feature-170,Feature-171,Feature-172,Feature-173,Feature-174,Feature-175,Feature-176,Feature-177,Feature-178,Feature-179,Feature-180,Feature-181,Feature-182,Feature-183,Feature-184,Feature-185,Feature-186,Feature-187,Feature-188,Feature-189,Feature-190,Feature-191,Feature-192,Feature-193,Feature-194,Feature-195,Feature-196,Feature-197,Feature-198,Feature-199,Feature-200,T95,test_type
ICBA,Bphen,FA0.75MA0.25SnBrI2,one-step,spin,diethylether,DMF+DMSO,PEDOT:PSS,0,2022,10.23,0,0.25,0.75,0,0,1,0.66,0.33,0,24.538,28.611,7.772,2.623,-18.379,-17.033,-15.485,7.099,-18.493,-19.963,-27.12,1.596,-24.935,25.624,21.017,-18.868,-25.894,-26.552,-0.869,4.464,19.725,7.472,-16.059,-27.767,20.312,-15.462,14.737,-7.522,-3.189,-13.265,37.717,-20.428,20.162,9.626,26.3,-22.588,9.637,19.204,-15.419,-13.398,-18.686,-15.297,-25.909,-20.163,-3.471,1.238,25.415,27.837,16.377,-23.409,-20.267,10.18,-10.234,26.488,4.16,5.437,4.179,14.004,5.158,-19.179,-2.939,-3.594,25.852,-13.883,-12.681,12.392,1.059,-26.543,-24.683,5.953,-28.685,22.799,-28.584,-14.832,-8.947,-26.522,-2.628,-7.75,28.258,-13.133,-12.511,23.793,6.308,-23.056,-11.361,28.718,5.993,17.656,0.209,-11.911,-29.404,25.236,27.333,26.029,-12.321,-12.846,-9.895,-3.253,20.842,-9.665,4.931,-17.841,-17.698,-26.285,22.574,23.985,-19.001,3.208,4.962,-15.624,-8.888,2.779,-11.711,25.152,-16.41,-11.716,-8.95,-18.827,-8.067,-13.045,-16.742,24.087,-22.945,6.537,6.897,29.849,1.211,16.012,20.426,-5.362,-2.121,17.946,-0.175,-8.821,-10.837,-9.873,-20.251,10.173,23.67,0.243,-28.597,-26.68,7.323,25.106,15.004,1.825,22.361,-23.641,-20.486,-1.514,8.09,-23.641,-16.649,-3.215,26.501,-0.719,23.82,-4.965,27.693,29.43,2.909,2.217,29.343,-11.935,-15.907,-23.862,2.225,21.473,-11.603,-11.625,-29.308,-23.451,-4.791,20.452,2.866,-22.995,17.864,17.417,105.961,25.138,7.792,-22.171,-17.095,-10.345,-15.683,7.02,0.671,13.842,13.142,4.365,9.388,11.242,-10.756,19.3,-1.606,25.752,0.991,14.463,-12.098,-20.027,12540,D-1
ICBA,Bphen,FA0.75MA0.25SnBrI2,one-step,spin,diethylether,DMF+DMSO,PEDOT:PSS,0,2022,10.23,0,0.25,0.75,0,0,1,0.66,0.33,0,24.538,28.611,7.772,2.623,-18.379,-17.033,-15.485,7.099,-18.493,-19.963,-27.12,1.596,-24.935,25.624,21.017,-18.868,-25.894,-26.552,-0.869,4.464,19.725,7.472,-16.059,-27.767,20.312,-15.462,14.737,-7.522,-3.189,-13.265,37.717,-20.428,20.162,9.626,26.3,-22.588,9.637,19.204,-15.419,-13.398,-18.686,-15.297,-25.909,-20.163,-3.471,1.238,25.415,27.837,16.377,-23.409,-20.267,10.18,-10.234,26.488,4.16,5.437,4.179,14.004,5.158,-19.179,-2.939,-3.594,25.852,-13.883,-12.681,12.392,1.059,-26.543,-24.683,5.953,-28.685,22.799,-28.584,-14.832,-8.947,-26.522,-2.628,-7.75,28.258,-13.133,-12.511,23.793,6.308,-23.056,-11.361,28.718,5.993,17.656,0.209,-11.911,-29.404,25.236,27.333,26.029,-12.321,-12.846,-9.895,-3.253,20.842,-9.665,4.931,-17.841,-17.698,-26.285,22.574,23.985,-19.001,3.208,4.962,-15.624,-8.888,2.779,-11.711,25.152,-16.41,-11.716,-8.95,-18.827,-8.067,-13.045,-16.742,24.087,-22.945,6.537,6.897,29.849,1.211,16.012,20.426,-5.362,-2.121,17.946,-0.175,-8.821,-10.837,-9.873,-20.251,10.173,23.67,0.243,-28.597,-26.68,7.323,25.106,15.004,1.825,22.361,-23.641,-20.486,-1.514,8.09,-23.641,-16.649,-3.215,26.501,-0.719,23.82,-4.965,27.693,29.43,2.909,2.217,29.343,-11.935,-15.907,-23.862,2.225,21.473,-11.603,-11.625,-29.308,-23.451,-4.791,20.452,2.866,-22.995,17.864,17.417,105.961,25.138,7.792,-22.171,-17.095,-10.345,-15.683,7.02,0.671,13.842,13.142,4.365,9.388,11.242,-10.756,19.3,-1.606,25.752,0.991,14.463,-12.098,-20.027,9714,D-1
ICBA,Bphen,FA0.75MA0.25SnBrI2,one-step,spin,diethylether,DMF+DMSO,PEDOT:PSS,0,2022,11.17,0,0.25,0.75,0,0,1,0.66,0.33,0,-21.815,23.033,27.926,1.981,-2.792,-4.542,22.529,28.346,5.377,-28.81,-6.048,-12.715,-22.762,-28.321,18.031,-15.387,-17.895,-5.39,-27.718,-1.24,-11.501,-28.986,-18.436,12.654,-25.862,29.736,-17.065,19.736,-9.725,7.111,42.224,7.419,-0.617,-7.56,2.581,14.541,-6.629,-14.203,-4.371,26.796,-8.438,-19.15,-1.381,18.494,25.687,-4.505,-18.821,16.689,25.899,-18.564,14.872,6.569,16.198,-8.543,-25.682,20.129,10.899,-27.057,-5.812,3.173,25.634,8.898,-3.725,26.693,-20.663,24.19,2.333,12.935,-20.601,27.33,-6.718,-10.291,23.408,-20.792,28.274,24.046,17.147,-8.845,19.036,-6.17,1.197,-26.18,0.809,19.556,-5.587,1.083,24.046,15.505,2.081,-6.012,21.076,-3.501,-11.728,-17.574,-15.979,-4.496,23.5,5.704,-5.544,-28.494,-17.658,5.36,4.816,-15.399,-9.319,20.295,-24.339,2.056,-13.734,0.777,11.253,-13.81,-0.64,-25.602,23.616,-26.912,-18.378,20.017,29.905,-0.171,-27.287,3.056,-4.103,-15.002,15.008,26.047,-3.292,-3.385,7.913,14.726,-2.624,26.391,23.539,-29.988,13.2,2.217,2.098,21.351,19.811,8.704,17.814,28.746,5.866,27.355,11.408,8.98,15.05,-13.848,25.889,0.148,24.236,28.628,-29.073,-10.683,4.057,18.018,16.564,27.167,18.273,-8.077,2.183,6.489,-29.089,3.703,-28.906,-29.527,24.922,-2.058,1.342,-2.223,-2.674,10.623,-5.912,-5.493,-0.018,-0.069,28.45,-7.817,81.54,-26.177,-17.626,-18.756,-29.437,15.545,28.588,1.86,15.856,-29.166,-11.486,-22.827,3.535,23.365,-19.252,13.71,1.845,8.613,22.393,-17.371,-7.393,1.656,12540,D-1
ICBA,Bphen,FA0.75MA0.25SnBrI2,one-step,spin,diethylether,DMF+DMSO,PEDOT:PSS,0,2022,11.17,0,0.25,0.75,0,0,1,0.66,0.33,0,-21.815,23.033,27.926,1.981,-2.792,-4.542,22.529,28.346,5.377,-28.81,-6.048,-12.715,-22.762,-28.321,18.031,-15.387,-17.895,-5.39,-27.718,-1.24,-11.501,-28.986,-18.436,12.654,-25.862,29.736,-17.065,19.736,-9.725,7.111,42.224,7.419,-0.617,-7.56,2.581,14.541,-6.629,-14.203,-4.371,26.796,-8.438,-19.15,-1.381,18.494,25.687,-4.505,-18.821,16.689,25.899,-18.564,14.872,6.569,16.198,-8.543,-25.682,20.129,10.899,-27.057,-5.812,3.173,25.634,8.898,-3.725,26.693,-20.663,24.19,2.333,12.935,-20.601,27.33,-6.718,-10.291,23.408,-20.792,28.274,24.046,17.147,-8.845,19.036,-6.17,1.197,-26.18,0.809,19.556,-5.587,1.083,24.046,15.505,2.081,-6.012,21.076,-3.501,-11.728,-17.574,-15.979,-4.496,23.5,5.704,-5.544,-28.494,-17.658,5.36,4.816,-15.399,-9.319,20.295,-24.339,2.056,-13.734,0.777,11.253,-13.81,-0.64,-25.602,23.616,-26.912,-18.378,20.017,29.905,-0.171,-27.287,3.056,-4.103,-15.002,15.008,26.047,-3.292,-3.385,7.913,14.726,-2.624,26.391,23.539,-29.988,13.2,2.217,2.098,21.351,19.811,8.704,17.814,28.746,5.866,27.355,11.408,8.98,15.05,-13.848,25.889,0.148,24.236,28.628,-29.073,-10.683,4.057,18.018,16.564,27.167,18.273,-8.077,2.183,6.489,-29.089,3.703,-28.906,-29.527,24.922,-2.058,1.342,-2.223,-2.674,10.623,-5.912,-5.493,-0.018,-0.069,28.45,-7.817,81.54,-26.177,-17.626,-18.756,-29.437,15.545,28.588,1.86,15.856,-29.166,-11.486,-22.827,3.535,23.365,-19.252,13.71,1.845,8.613,22.393,-17.371,-7.393,1.656,9714,D-1
b-TiO2,m-TiO2,MAPbI3,one-step,spin,chlorobenzene,DMF+DMSO,NiOx,0,2022,12.7,0,1,0,0,1,0,1,0,0,-5.406,19.833,24.78,-5.019,-23.237,17.131,-25.499,-18.02,-2.169,-14.166,9.271,-23.303,20.644,-15.308,-3.311,27.998,5.243,-10.633,25.51,11.383,10.06,6.445,-13.664,-6.727,-24.144,-26.671,7.197,-6.196,-11.458,-22.246,80.697,21.624,18.997,-10.301,21.026,-20.201,9.284,24.453,26.571,1.911,-10.523,-8.099,-11.558,-16.619,20.875,-6.264,8.031,29.475,2.622,2.817,9.272,-19.941,3.303,26.581,17.041,-17.82,5.994,25.952,-2.579,19.437,16.949,2.059,-11.377,14.025,18.982,-18.531,8.921,18.277,2.767,-4.017,22.893,0.703,0.048,15.926,13.246,-19.405,-18.174,-9.42,9.615,20.846,25.639,9.597,-21.665,19.652,-17.911,-3.642,-11.445,-5.512,-3.134,29.395,-7.524,-14.956,10.573,26.404,6.915,8.795,-10.931,16.894,-22.253,-3.189,18.482,13.477,-12.538,-17.625,-11.678,-26.747,23.957,2.615,-16.502,14.572,9.775,-22.55,25.99,8.328,-19.303,-3.293,-26.709,10.269,26.084,-12.704,-25.723,-14.774,-11.521,-2.301,15.196,-28.814,-27.925,2.553,-21.008,26.202,28.137,-10.256,-16.799,-26.561,-1.698,-2.671,8.517,13.261,-17.493,-23.282,2.721,-29.808,-3.78,-29.548,7.916,-8.14,-11.193,5.565,-24.684,14.202,4.454,-29.711,14.715,7.737,9.771,28.029,-18.717,-19.527,13.127,9.541,-8.377,2.266,-20.488,-27.31,-24.355,-23.249,22.292,-14.203,24.49,5.378,-17.32,-24.682,-22.681,-27.512,14.115,-9.722,18.617,18.644,102.609,20.518,4.941,-23.253,21.869,27.253,11.934,6.453,-12.652,2.718,-27.301,8.785,12.784,29.861,15.079,9.791,-15.403,25.445,17.829,-16.028,-29.279,23.8,23040,D-1
c-TiO2,mp-TiO2,Cs0.05FA0.85MA0.10Pb(I0.97Br0.03)3,one-step,spin2-3,chlorobenzene,DMF+DMSO,Spiro-OMeTAD,Li+TBP,2022,16.36,0.05,0.1,0.85,0,1,0,0.97,0.03,0,-7.821,22.733,29.592,-14.448,-26.441,14.797,6.861,26.303,-13.934,-11.764,7.266,-18.18,12.618,-17.609,-28.244,-27.924,29.389,-19.224,-27.664,6.965,-11.498,0.623,-0.629,28.795,14.481,12.579,14.378,2.794,23.681,4.971,57.546,-18.647,1.485,-3.422,-21.016,14.365,-27.359,18.779,14.554,7.917,-24.249,26.431,-11.822,-17.199,-6.324,-18.594,15.37,12.748,-24.11,25.495,-13.492,-14.229,-21.674,-27.198,-16.583,24.809,11.747,11.447,-0.859,-18.868,4.466,16.246,-0.47,-15.363,8.634,20.699,7.93,9.84,6.198,-28.062,-13.95,29.803,28.278,7.632,-22.773,-13.582,-26.597,12.897,-24.406,-27.632,6.299,-14.847,25.022,14.49,1.572,-2.173,3.455,-23.417,-14.797,18.218,24.488,24.482,-13.372,-26.064,6.02,-15.346,-1.601,-24.053,-5.857,8.768,21.612,-25.99,-16.005,11.63,-20.023,-27.098,-1.117,2.751,0.221,-21.083,5.665,10.967,16.001,-8.951,-22.227,21.432,16.892,7.67,27.238,7.487,15.355,-13.149,-3.81,-9.205,-13.55,-21.741,18.033,16.764,-28.383,0.139,26.292,-2.596,-14.953,-21.241,-13.834,-11.911,27.67,-5.932,1.19,-25.98,1.672,19.954,-15.245,-1.487,29.372,-29.694,12.068,-10.257,-23.493,22.078,24.26,6.007,-17.589,-4.292,8.093,28.593,-18.588,22.527,-17.12,-18.194,-10.554,-6.81,12.403,-10.12,-0.342,17.863,21.114,11.842,17.864,2.759,-14.003,-14.588,-28.902,-12.907,19.314,-14.751,11.137,27.745,76.481,23.984,0.459,-6.223,26.21,19.728,12.047,9.237,-10.885,21.849,11.024,7.574,-10.63,-6.431,-6.521,-0.908,-20.459,-20.803,14.429,20.336,-29.232,20.613,43200,D-1
c-TiO2,mp-TiO2,Cs0.05FA0.85MA0.10Pb(I0.97Br0.03)3,one-step,spin2-3,chlorobenzene,DMF+DMSO,Spiro-OMeTAD,Li+TBP,2022,16.36,0.05,0.1,0.85,0,1,0,0.97,0.03,0,-7.821,22.733,29.592,-14.448,-26.441,14.797,6.861,26.303,-13.934,-11.764,7.266,-18.18,12.618,-17.609,-28.244,-27.924,29.389,-19.224,-27.664,6.965,-11.498,0.623,-0.629,28.795,14.481,12.579,14.378,2.794,23.681,4.971,57.546,-18.647,1.485,-3.422,-21.016,14.365,-27.359,18.779,14.554,7.917,-24.249,26.431,-11.822,-17.199,-6.324,-18.594,15.37,12.748,-24.11,25.495,-13.492,-14.229,-21.674,-27.198,-16.583,24.809,11.747,11.447,-0.859,-18.868,4.466,16.246,-0.47,-15.363,8.634,20.699,7.93,9.84,6.198,-28.062,-13.95,29.803,28.278,7.632,-22.773,-13.582,-26.597,12.897,-24.406,-27.632,6.299,-14.847,25.022,14.49,1.572,-2.173,3.455,-23.417,-14.797,18.218,24.488,24.482,-13.372,-26.064,6.02,-15.346,-1.601,-24.053,-5.857,8.768,21.612,-25.99,-16.005,11.63,-20.023,-27.098,-1.117,2.751,0.221,-21.083,5.665,10.967,16.001,-8.951,-22.227,21.432,16.892,7.67,27.238,7.487,15.355,-13.149,-3.81,-9.205,-13.55,-21.741,18.033,16.764,-28.383,0.139,26.292,-2.596,-14.953,-21.241,-13.834,-11.911,27.67,-5.932,1.19,-25.98,1.672,19.954,-15.245,-1.487,29.372,-29.694,12.068,-10.257,-23.493,22.078,24.26,6.007,-17.589,-4.292,8.093,28.593,-18.588,22.527,-17.12,-18.194,-10.554,-6.81,12.403,-10.12,-0.342,17.863,21.114,11.842,17.864,2.759,-14.003,-14.588,-28.902,-12.907,19.314,-14.751,11.137,27.745,76.481,23.984,0.459,-6.223,26.21,19.728,12.047,9.237,-10.885,21.849,11.024,7.574,-10.63,-6.431,-6.521,-0.908,-20.459,-20.803,14.429,20.336,-29.232,20.613,48960,D-1
C60,PCBM,MA0.4FA0.6Pb(I0.6CI0.4)3,one-step,spin,chlorobenzene,DMF+DMSO,MeO-2PACz,0,2022,16.44,0,0.4,0.6,0,1,0,0.6,0,0.4,4.242,-26.52,-15.145,-17.731,29.023,15.71,29.716,-4.876,25.589,-19.787,-5.818,1.774,14.506,-0.422,-2.989,-11.418,17.838,-11.839,2.711,13.44,-8.1,-18.604,28.122,0.603,22.323,11.918,-3.546,5.296,-8.672,-20.686,90.649,-27.897,0.699,-8.445,4.209,22.44,-15.4,2.654,-20.81,-14.186,26.823,-18.348,4.857,-14.346,-5.545,-25.805,16.15,-1.229,13.592,-16.198,12.507,4.289,-18.362,-1.538,-3.69,27.207,-12.9,-27.53,17.648,-11.42,23.042,-21.644,5.892,29.238,-19.686,-17.563,-12.948,-15.982,12.144,27.209,-7.635,-19.118,18.399,-3.964,15.715,21.745,7.608,10.552,-2.121,-25.755,-16.732,25.905,-26.516,-14.655,28.384,-27.73,-19.937,29.793,13.761,-16.391,-16.672,10.445,23.773,-18.814,16.001,28.636,1.596,-22.436,-17.055,24.962,-14.593,-21.654,-12.512,13.616,14.977,-9.342,15.981,24.223,2.57,13.521,18.939,-13.537,-27.356,6.234,3.899,-8.773,-1.148,-2.447,11.526,-3.357,-15.792,-2.552,15.274,5.718,-27.825,-1.35,18.705,21.211,-29.155,-13.913,11.375,-9.481,-0.794,4.266,-6.613,-25.214,-19.006,-10.446,1.183,-28.872,-11.149,-2.476,-1.027,-6.961,4.168,-26.982,17.304,-9.749,27.633,19.125,6.045,19.12,11.94,21.302,23.018,-1.889,8.23,-4.047,-2.157,16.662,14.854,17.732,-1.354,22.558,26.341,28.874,18.436,24.76,-21.75,-16.925,-1.702,-4.305,18.517,29.096,-6.901,11.763,-10.049,-24.151,61.849,-18.088,13.945,-7.197,-15.988,17.822,28.73,4.056,7.982,4.22,1.807,8.197,-17.542,11.526,22.216,-17.617,-10.144,6.041,-5.824,13.846,9.073,-9.841,8700,D-1
c-TiO2,m-TiO2,MAPbI3,one-step,spin,chlorobenzene,DMF+DMSO,Spiro-OMeTAD,Li+TBP,2022,17.9,0,1,0,0,1,0,1,0,0,-15.927,-4.758,-2.281,19.188,-20.601,4.825,-18.772,-16.475,-25.844,5.147,-11.47,1.63,-19.311,-18.893,-29.845,-18.044,-5.824,20.271,-5.077,22.669,-21.154,20.845,-8.457,12.844,-11.694,-19.439,-17.428,-21.024,18.613,19.04,66.133,16.084,6.978,27.127,-2.721,-1.193,20.829,-26.808,-9.527,-18.321,23.447,-22.022,16.566,26.378,-10.317,22.595,20.546,27.81,-1.657,15.407,27.83,-6.941,-4.275,-24.528,-28.352,22.736,14.283,-1.844,27.082,-17.128,-27.7,-25.237,-28.87,-25.168,-18.942,1.308,17.548,20.784,1.936,7.591,-0.376,4.468,-22.995,-19.736,14.843,-1.269,-5.648,11.855,20.205,6.88,17.427,-13.943,4.084,-26.743,29.827,-8.244,-9.442,-8.196,18.593,19.521,-0.259,-18.156,-17.753,9.272,25.956,13.854,-27.427,-19.081,1.962,3.574,-29.831,26.958,-27.829,24.01,-9.415,-15.987,-7.991,3.374,-19.422,-17.336,14.112,-18.887,12.705,7.631,-3.188,-28.676,-6.046,-17.4,0.339,15.427,2.236,-15.123,-3.193,-8.391,-10.578,-19.126,-14.148,10.471,-27.351,18.884,2.104,11.669,-24.364,9.471,20.437,20.931,-27.164,-11.68,4.927,-16.568,-8.852,10.703,7.164,4.054,-26.552,-29.963,-26.854,4.745,-12.514,-21.511,16.045,-11.066,-7.964,-16.972,18.517,25.927,-20.809,-7.939,-24.632,-28.193,-24.649,-6.328,13.218,-6.941,-10.558,-0.727,8.141,-19.482,-1.24,-4.395,5.355,-19.486,-22.689,1.843,10.011,-13.916,-20.71,-11.96,24.592,2.875,18.79,-18.783,10.147,-17.412,19.827,-3.384,28.75,-1.326,-4.619,-13.772,7.412,14.848,4.86,-21.235,-29.404,-6.55,11.402,12.291,15.184,16.426,3.94,D-1
ALD-SnO2,C60,FAPb0.5Sn0.5I3,one-step,spin2-3,ethylacetate,DMF+DMSO,PEDOT:PSS,0,2022,18.9,0,0,1,0,0.5,0.5,1,0,0,13.833,8.509,-4.553,15.062,15.772,7.093,7.27,3.732,-20.68,-4.419,-17.379,3.14,9.561,13.11,-24.307,17.062,2.634,-3.285,-17.035,-23.255,-16.9,-14.813,29.362,-20.225,-21.896,-1.489,18.115,25.066,-12.321,-10.945,78.307,29.947,3.045,8.323,-8.232,-27.776,20.259,-15.015,8.654,-12.238,-5.369,-22.355,-18.703,17.549,-18.941,20.284,16.168,-24.378,-19.894,27.373,-16.493,-22.423,10.842,-21.248,21.793,14.336,9.829,10.515,-7.715,0.686,-11.198,-2.474,0.948,-8.863,-20.808,8.131,28.94,5.032,-12.485,-3.448,9.754,13.506,-4.309,-13.307,6.78,21.919,-11.088,29.028,-27.536,5.346,-27.139,-23.738,-28.433,-18.196,-6.706,-2.408,-10.471,-10.126,27.538,26.62,-20.918,21.838,-3.966,25.302,-9.541,19.568,2.352,13.763,7.903,-15.296,26.887,-14.849,-9.716,-18.198,9.231,-15.364,-3.786,28.14,21.869,-24.229,-7.181,29.876,-17.859,-1.33,-29.995,-26.406,-12.22,11.738,-13.546,-13.144,-26.649,-10.99,-21.707,-26.783,-19.775,-15.576,4.189,-15.334,21.306,3.065,-20.882,18.587,-17.417,-25.437,-1.432,-20.854,6.973,11.508,0.588,-14.901,-21.457,-29.842,-25.939,-13.813,-20.993,-1.349,1.989,20.961,-9.774,-25.203,-13.259,10.743,-3.868,16.938,-19.375,0.468,-24.31,8.428,3.733,21.63,5.855,-0.747,11.414,1.394,25.52,27.22,-21.242,26.602,-13.254,-19.993,-23.667,27.328,-29.745,6.376,-8.398,-25.578,11.427,-20.928,37.742,-24.868,-0.422,11.154,-16.871,-9.901,12.386,-8.209,-18.311,13.631,8.142,-18.752,-15.987,3.985,-12.407,12.005,-1.485,-9.476,-9.897,14.741,-1.988,23.417,1020,D-2
